	tsne1	tsne2	tsne3	cluster
47	62.422764	-11.062282	-34.570435	0
48	86.058685	-35.899906	-33.4767	0
49	58.058704	2.5709271	-49.289333	0
50	70.52557	-38.199047	-21.566362	0
51	39.88376	-28.044245	22.842958	4
52	23.34566	-29.945995	63.64658	4
53	59.976704	-29.928001	65.678154	4
54	56.12318	-23.689245	70.55772	4
55	59.976704	-29.928001	65.678154	4
56	-25.9596	-13.073078	-14.4643135	5
57	102.94806	-21.168219	1.6048796	4
58	103.29309	-29.002174	-2.1832316	4
59	-12.762955	-23.9626	45.47807	1
60	2.8130324	13.105503	78.64125	1
61	102.615	-30.604559	5.903284	4
62	64.39135	42.485928	-65.545555	0
63	20.523542	4.36409	41.56168	2
64	74.42123	-15.382273	-15.280766	0
65	72.59973	-7.740828	-15.208842	0
66	24.188074	9.75736	28.139244	2
67	80.060486	15.202554	-2.4325106	2
68	57.450623	22.553629	-55.64957	0
69	-95.55705	-1.2623256	17.715487	1
70	35.192963	-13.132844	63.666405	4
71	82.105934	20.711153	-10.086771	2
72	0.9047669	-1.9969647	88.35536	1
73	71.496414	17.844818	60.141605	2
74	73.52913	21.748373	67.21073	2
75	57.777832	18.617985	64.019615	2
76	-53.12964	85.88926	7.517969	6
77	7.827723	2.4449215	78.59977	1
78	-51.194904	86.78511	25.373625	6
79	-22.424395	76.03982	64.225876	1
80	51.99287	5.0415373	20.651966	2
81	1.5246077	-12.989617	47.79425	4
82	20.128733	74.93092	36.303	2
83	49.324196	18.853655	83.53031	2
84	-7.294997	14.90419	54.34248	1
85	90.46705	-16.242916	27.410923	4
86	22.170643	-7.2228165	51.16075	4
87	-53.895435	60.83396	44.63681	1
88	-6.5957403	-56.32937	73.40391	4
89	-37.334133	20.094961	-23.77336	5
90	-48.589058	39.833244	-62.69057	5
91	0.9876131	-47.1252	24.104494	3
92	11.230066	28.383175	-34.45674	0
93	-45.67113	39.285057	-46.760834	5
94	-22.173191	-11.236611	-73.16541	5
95	-11.577495	12.868243	-45.74618	5
96	-63.474533	32.09243	-23.374725	5
97	51.82841	2.722615	-23.225927	0
98	-27.1028	39.00702	-24.888783	6
99	-28.4004	35.06912	-14.072713	6
100	-25.075485	44.884228	34.51483	1
101	-14.422402	-5.982384	-58.45933	5
102	54.494255	11.214738	31.773537	2
103	-29.598078	75.19369	17.63897	6
104	-22.076345	67.88713	20.356297	6
105	-22.26389	68.884514	-2.4857745	6
106	-0.16307612	40.54036	-23.177155	6
107	29.178368	46.375637	-41.673065	6
108	-32.795082	65.331345	25.731934	6
109	-23.97575	72.5732	-34.696365	6
110	32.97596	35.79914	43.408047	2
111	26.466526	61.05525	-58.94166	6
112	1.7459141	76.01406	62.557014	2
113	61.95352	-14.874578	2.523937	4
114	-2.0058758	17.201168	9.114691	1
115	6.1593394	-62.565075	-35.55571	3
116	-25.261265	19.30666	-26.662577	5
117	2.9516811	37.07336	66.97311	1
118	-40.20091	62.960297	-27.266863	6
119	23.691486	-2.4001439	84.60845	4
120	12.694129	69.00425	13.174095	6
121	39.222805	55.398247	45.840725	2
122	17.577847	-1.9971579	65.70404	4
123	-24.359716	47.33548	-50.155872	6
124	9.855142	-48.342087	46.520393	4
125	-4.528771	-20.119314	-76.05759	5
126	-6.9934144	-12.572964	12.307395	1
127	-30.57161	-32.86911	-63.782257	5
128	-30.570076	-34.69832	60.274776	1
129	-40.7554	17.644043	76.95514	1
130	66.024734	-67.880844	17.74157	4
131	-47.638847	8.973719	79.68765	1
132	-70.14524	-19.437622	16.367641	1
133	69.872604	-51.55954	27.550276	4
134	-49.813587	21.2933	36.857227	1
135	-58.835056	13.791273	72.42464	1
136	77.177795	-61.82807	32.530415	4
137	-91.273026	5.7802596	-7.8573966	5
